PLAYER_ID,PLAYER_NAME,scoring_average,SG_OTT,SG_APP,SG_ATG,SG_PUTTING
51349,"Nico Echavarria",71.463,-0.061,-0.388,-0.047,0.255
51600,"Jimmy Stanger",71.001,0.535,-0.577,-0.013,-0.074
51634,"Sahith Theegala",70.297,0.453,0.4,-0.035,0.71
51696,"Rico Hoey",71.264,0.684,0.297,-0.365,-0.858
51766,"Wyndham Clark",70.241,0.53,0.394,0.176,0.679
51890,"Greyson Sigg",70.817,-0.054,0.47,0.119,-0.606
51894,"Vince Whaley",71.606,-0.686,-0.214,-0.035,-0.007
51977,"Max Greyserman",70.896,-0.085,0.103,0.049,0.123
51997,"Andrew Novak",70.72,0.032,0.521,0.311,-0.047
52215,"Robert MacIntyre",71.527,0.145,-0.129,0.044,-0.356
52372,"Cameron Champ",71.575,0.83,-0.904,-0.645,0.459
52374,"Brandon Wu",71.65,-0.203,-0.119,0.006,-0.116
52375,"Doug Ghim",70.541,0.33,0.491,0.033,0.093
52453,"Nicolai Højgaard",71.89,0.474,0.171,-0.473,-0.44
52513,"Carson Young",71.109,0.213,0.215,-0.271,-0.059
52514,"Trace Crowe",71.816,0.252,-0.927,-0.354,0.169
52666,"Sami Valimaki",71.477,0.299,-0.078,-0.266,0.138
52955,"Ludvig Åberg",70.254,0.535,0.531,-0.042,0.12
54328,"Norman Xiong",71.5,0.238,-1.24,-0.218,0.256
54421,"Garrick Higgo",71.511,-0.092,-0.335,-0.092,0.209
54576,"Patrick Fishburn",72.116,0.369,-0.894,-0.99,0.121
54591,"Ben Griffin",70.63,-0.245,-0.046,0.387,0.336
54628,"Lee Hodges",72.16,-0.117,0.129,-0.45,-0.134
54783,"Dylan Wu",71.126,-0.316,0.384,0.106,0.084
55182,"Tom Kim",71.677,-0.178,-0.027,-0.073,-0.032
55454,"Carl Yuan",71.584,0.404,-0.272,0.237,-0.407
55708,"Hayden Buckley",72.436,-0.105,-0.586,-0.197,-0.109
55789,"Taylor Montgomery",71.343,-0.798,-0.401,0.191,0.887
55893,"Sam Stevens",71.169,0.156,-0.379,0.148,0.145
56149,"Wilson Furr",71.715,-0.069,-0.455,0.336,0.072
56630,"Akshay Bhatia",70.299,0.349,0.727,-0.017,0.351
57362,"Austin Eckroat",70.738,0.353,0.51,0.144,-0.138
57366,"Cameron Young",70.967,0.39,0.477,-0.166,-0.182
57900,"Chandler Phillips",70.992,-0.249,0.333,0.005,0.018
57975,"Harry Hall",71.162,-0.395,0.085,0.377,-0.056
58168,"Davis Thompson",70.587,-0.098,0.274,0.211,0.047
59095,"Chris Gotterup",71.321,0.158,-0.371,-0.024,0.365
59143,"Mac Meissner",71.291,-0.142,-0.1,0.399,0.019
59442,"Parker Coody",71.08,-0.103,0.463,-0.062,-0.168
59836,"Pierceson Coody",72.198,-0.404,-0.69,-0.545,0.369
59866,"Nick Dunlap",71.584,-0.439,-0.442,0.003,0.163
60004,"Jacob Bridgeman",70.948,-0.335,0.231,-0.047,0.323
60067,"Joe Highsmith",71.649,-0.636,-0.379,0.293,-0.374
